,Component 1,Component 2,Component 3,Component 4
I_e,0.0244,0.4918,0.3059,0.0481
r_e,33.7795,4.8233,2.9376,17.0385
n,2.0544,1.2713,0.6179,1.1969
x_0,35.4014,48.4293,54.6959,66.8386
