,Component 1,Component 2,Component 3,Component 4
I_e,0.0031,0.1090,0.1907,0.0175
r_e,41.0855,21.8858,1.7631,18.2247
n,3.7451,2.0245,0.0668,1.4666
x_0,34.6587,47.7469,54.3618,66.3662
