,Component 1,Component 2,Component 3,Component 4
I_e error,0.2398,3.5605,2.1163,0.2645
r_e error,1.2917,1.5482,0.7583,0.6782
n error,0.0903,0.3989,0.3468,0.0875
x_0 error,1.0797,0.1975,0.6369,1.1418
