,Component 1,Component 2,Component 3,Component 4
I_e error,87.6378,6.4969,0.4849,1.4403
r_e error,0.8603,1.9916,0.7590,6.8458
n error,8.8379,0.5233,0.0884,3.0977
x_0 error,0.2193,0.1992,0.3117,0.7820
