,Component 1,Component 2,Component 3,Component 4
I_e error,0.0498,0.0299,0.0777,0.0056
r_e error,2.7836,3.7146,0.3712,54.2534
n error,0.5279,0.1494,0.2095,0.6271
x_0 error,0.0725,0.0498,0.1645,0.2236
