,Component 1,Component 2,Component 3,Component 4
I_e,0.0702,0.1412,0.2799,0.0059
r_e,4.9985,19.9999,2.1406,59.1569
n,1.7661,2.2425,0.5554,2.4188
x_0,34.3829,47.7924,54.0239,66.2859
