,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,7.415,15.987,15.370,17.925,11.203,3.295
Continuum_2,8.271,31.490,17.078,19.766,14.407,3.829
Continuum_3,5.722,6.222,17.180,31.010,15.203,4.205
