,SNR,Signal,Noise
Spettro_1,1.094,0.020,0.018
Spettro_2,-0.268,-0.004,0.015
Spettro_3,-1.342,-0.019,0.014
Spettro_4,1.125,0.014,0.012
Spettro_5,0.408,0.004,0.010
Spettro_6,2.024,0.016,0.008
Spettro_7,-1.229,-0.019,0.015
Spettro_8,-1.240,-0.011,0.009
Spettro_9,3.061,0.050,0.016
Spettro_10,1.231,0.020,0.016
Spettro_11,13.045,0.171,0.013
Spettro_12,13.393,0.109,0.008
Spettro_13,5.192,0.068,0.013
Spettro_14,3.618,0.050,0.014
Spettro_15,0.726,0.011,0.016
Spettro_16,1.485,0.011,0.007
Spettro_17,1.222,0.016,0.013
Spettro_18,0.042,0.001,0.015
Spettro_19,1.501,0.022,0.015
Spettro_20,-0.186,-0.003,0.015
