,SNR,Signal,Noise
Spettro_1,1.257,0.020,0.016
Spettro_2,-0.072,-0.001,0.020
Spettro_3,-1.858,-0.030,0.016
Spettro_4,1.307,0.031,0.024
Spettro_5,0.143,0.002,0.017
Spettro_6,0.234,0.006,0.024
Spettro_7,-0.632,-0.014,0.023
Spettro_8,0.526,0.009,0.016
Spettro_9,0.808,0.017,0.021
Spettro_10,0.577,0.017,0.029
Spettro_11,2.049,0.048,0.023
Spettro_12,3.020,0.051,0.017
Spettro_13,0.848,0.015,0.018
Spettro_14,0.474,0.006,0.012
Spettro_15,-0.314,-0.007,0.021
Spettro_16,-0.413,-0.008,0.019
Spettro_17,-1.500,-0.024,0.016
Spettro_18,-0.539,-0.008,0.015
Spettro_19,0.292,0.005,0.019
Spettro_20,-0.477,-0.009,0.019
