,SNR,Signal,Noise
Spettro_1,0.325,0.007,0.021
Spettro_2,1.807,0.029,0.016
Spettro_3,-0.240,-0.005,0.021
Spettro_4,1.539,0.024,0.016
Spettro_5,1.886,0.029,0.016
Spettro_6,0.393,0.008,0.021
Spettro_7,1.338,0.025,0.019
Spettro_8,1.444,0.019,0.013
Spettro_9,0.921,0.026,0.028
Spettro_10,0.207,0.003,0.016
Spettro_11,7.289,0.123,0.017
Spettro_12,4.135,0.099,0.024
Spettro_13,4.564,0.070,0.015
Spettro_14,2.298,0.037,0.016
Spettro_15,6.443,0.041,0.006
Spettro_16,2.114,0.025,0.012
Spettro_17,1.413,0.023,0.016
Spettro_18,0.360,0.005,0.013
Spettro_19,0.076,0.002,0.020
Spettro_20,0.282,0.005,0.017
