,SNR,Signal,Noise
Spettro_1,-1.517,-0.036,0.024
Spettro_2,-0.127,-0.002,0.014
Spettro_3,-0.819,-0.022,0.027
Spettro_4,-1.205,-0.018,0.015
Spettro_5,-1.753,-0.032,0.018
Spettro_6,-1.638,-0.033,0.020
Spettro_7,-2.837,-0.049,0.017
Spettro_8,-1.203,-0.025,0.020
Spettro_9,-3.885,-0.103,0.026
Spettro_10,-0.619,-0.020,0.032
Spettro_11,2.502,0.067,0.027
Spettro_12,6.152,0.126,0.021
Spettro_13,6.684,0.078,0.012
Spettro_14,0.116,0.002,0.018
Spettro_15,0.957,0.015,0.015
Spettro_16,-1.119,-0.034,0.030
Spettro_17,-1.352,-0.031,0.023
Spettro_18,-0.053,-0.001,0.017
Spettro_19,-1.882,-0.034,0.018
Spettro_20,-1.097,-0.019,0.017
