,SNR,Signal,Noise
Spettro_1,0.732,0.013,0.018
Spettro_2,0.238,0.003,0.014
Spettro_3,-0.478,-0.007,0.014
Spettro_4,0.407,0.005,0.012
Spettro_5,2.059,0.020,0.010
Spettro_6,-0.624,-0.005,0.008
Spettro_7,0.505,0.008,0.015
Spettro_8,2.809,0.025,0.009
Spettro_9,1.281,0.021,0.016
Spettro_10,0.857,0.013,0.015
Spettro_11,17.750,0.255,0.014
Spettro_12,16.802,0.137,0.008
Spettro_13,7.249,0.087,0.012
Spettro_14,3.366,0.051,0.015
Spettro_15,0.579,0.009,0.016
Spettro_16,0.500,0.004,0.007
Spettro_17,0.977,0.013,0.013
Spettro_18,0.595,0.009,0.015
Spettro_19,0.150,0.002,0.015
Spettro_20,0.399,0.006,0.015
