,SNR,Signal,Noise
Spettro_1,-0.578,-0.012,0.021
Spettro_2,2.042,0.032,0.016
Spettro_3,-0.378,-0.008,0.021
Spettro_4,0.363,0.006,0.016
Spettro_5,-0.463,-0.007,0.016
Spettro_6,0.273,0.006,0.021
Spettro_7,0.542,0.010,0.019
Spettro_8,0.077,0.001,0.013
Spettro_9,-0.531,-0.015,0.028
Spettro_10,1.436,0.023,0.016
Spettro_11,2.958,0.050,0.017
Spettro_12,0.824,0.018,0.022
Spettro_13,1.680,0.026,0.015
Spettro_14,0.742,0.013,0.018
Spettro_15,1.107,0.007,0.006
Spettro_16,-0.152,-0.002,0.012
Spettro_17,-0.562,-0.009,0.016
Spettro_18,-0.749,-0.010,0.013
Spettro_19,0.327,0.007,0.020
Spettro_20,-0.294,-0.005,0.017
