,SNR,Signal,Noise
Spettro_1,-0.649,-0.011,0.017
Spettro_2,0.242,0.004,0.019
Spettro_3,-2.445,-0.043,0.018
Spettro_4,1.141,0.030,0.026
Spettro_5,0.219,0.004,0.019
Spettro_6,0.452,0.012,0.027
Spettro_7,0.146,0.004,0.025
Spettro_8,-1.917,-0.035,0.018
Spettro_9,1.112,0.026,0.023
Spettro_10,0.169,0.004,0.026
Spettro_11,2.619,0.056,0.021
Spettro_12,6.905,0.127,0.018
Spettro_13,4.484,0.088,0.020
Spettro_14,3.664,0.044,0.012
Spettro_15,0.647,0.015,0.023
Spettro_16,-1.261,-0.026,0.020
Spettro_17,0.427,0.008,0.018
Spettro_18,-0.260,-0.004,0.017
Spettro_19,-1.479,-0.030,0.020
Spettro_20,1.419,0.030,0.021
