,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.016,0.018,0.022,0.025,0.029,0.032,0.034,0.063,0.042,0.036,0.030,0.036,0.045,0.049,0.049,0.030,0.020,0.016,0.013,0.009
Continuum_2,0.017,0.019,0.023,0.027,0.029,0.032,0.033,0.063,0.038,0.033,0.030,0.032,0.041,0.044,0.042,0.027,0.020,0.015,0.013,0.011
Continuum_3,0.016,0.018,0.021,0.024,0.028,0.029,0.030,0.064,0.032,0.029,0.026,0.030,0.036,0.040,0.034,0.022,0.019,0.013,0.012,0.010
