L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.53e+39,4.04e+38,1.69e+40,8.9e+39,nan,nan
1.03e+39,2.09e+38,1.13e+40,5.82e+39,nan,nan
9.32e+38,1.76e+38,1.02e+40,5.26e+39,nan,nan
3.88e+38,6.17e+37,4.18e+39,2.29e+39,nan,nan
5.82e+37,1.42e+37,6.03e+38,4.08e+38,nan,nan
