Name,Flux,Error_flux
Hgamma,0.1162884296817729,0.07315565771453408
Hbeta,0.4739200112928835,0.05490814659980868
Halpha,1.5637300009490793,0.04202263065748832
[SII]6716,0.19955510771833568,0.02371297345177604
[SII]6731,0.2462935028197268,0.03302382509111448
HeII4687,0.0,0.10581416414357561
HeI5876,0.0690983445047825,0.034213701659791755
[OIII]4959,0.18739861741065253,0.049661440491645246
[OIII]5007,0.5621958522319576,0.049661440491645246
[OI]6300,0.03198179670115322,0.04674794791034571
[OI]6364,0.010660598900384406,0.04674794791034571
[NII]6548,0.14911285847153707,0.036014736857984564
[NII]6583,0.4473385754146112,0.036014736857984564
