Name,Flux,Error flux
Hgamma,1.0347100701016547,0.10354558543001163
Hbeta,2.613812080878931,0.22655605090452627
Halpha,11.912743871198172,0.17351382890050032
[SII]6716,1.7295111547739375,0.07497574013131905
[SII]6731,1.3706922890830164,0.0508627781295676
HeII4687,0.0038207780021198975,0.010977909693100328
HeI5876,0.3498188356261774,0.019593463412019837
[OIII]5007_d,2.557451018488332,0.11551001865242619
[OI]6300_d,0.3044321583526514,0.02603532832963779
[NII]6583_d,4.630859472576054,0.10108620266281505
