,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.034,0.033,0.036,0.031
Continuum_2,0.022,0.018,0.020,0.020
Continuum_3,0.018,0.014,0.016,0.013
