,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.215,0.144,0.345,0.093
Continuum_2,0.197,0.156,0.361,0.124
Continuum_3,0.155,0.128,0.349,0.106
