,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.084,0.071,0.226,0.046,0.021
Continuum_2,0.082,0.070,0.324,0.050,0.022
Continuum_3,0.074,0.064,0.365,0.050,0.022
