,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,7.826,9.322,10.534,7.032,0.485,0.582,0.747,0.395,0.062,0.062,0.071,0.056
Continuum_2,12.658,13.988,16.125,12.181,0.479,0.564,0.728,0.426,0.038,0.040,0.045,0.035
Continuum_3,12.305,13.608,16.611,12.291,0.410,0.489,0.640,0.372,0.033,0.036,0.039,0.030
