,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.485,0.582,0.599,0.428
Continuum_2,0.479,0.564,0.598,0.466
Continuum_3,0.410,0.489,0.525,0.406
