,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,7.826,9.322,10.534,7.032
Continuum_2,12.658,13.988,16.125,12.181
Continuum_3,12.305,13.608,16.611,12.291
