,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0239,0.0541,0.0255,6.7119,10.5120,0.0843,0.6314
r_e,22.3535,6.1359,14.1926,0.0003,0.0004,14.7018,0.2467
n,2.0272,2.6520,2.2295,5.7927,6.7585,1.3120,2.0300
x_0,15.2259,29.6084,57.7582,61.3087,69.3297,78.9107,83.5494
