,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0210,0.1656,0.0223,0.1558,192702.5662,0.0399,0.1764
r_e error,4.5299,4.9896,30.0310,190.9511,6590.7143,5.7080,2.3118
n error,0.3449,3.8327,0.7943,171.5128,2180415.9524,0.4533,1.5029
x_0 error,0.1615,0.0070,0.3958,75.4687,923.3878,0.2969,0.1591
