,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0101,0.0927,0.0261,0.0013,0.0260,0.0288,0.1243
r_e,41.4720,4.0714,15.4688,1.6211,1.9013,25.1087,0.9912
n,2.0728,2.2230,1.9379,6.5181,1.2589,1.6713,0.9459
x_0,14.3917,28.8410,56.9565,62.2079,70.6511,77.5885,83.0385
