,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2937,0.5202,0.3715,0.0000,4.1650,0.3965,1.5284
r_e error,2.9741,5.3411,84.1081,0.0000,17.1997,94.7372,0.6386
n error,0.1792,0.5448,0.6681,0.0000,1.8265,1.0592,0.6583
x_0 error,0.2645,0.1940,0.4753,0.0000,3.5632,1.9725,0.3033
