,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.9934,0.4977,0.1801,0.0000,1.5638,0.3439,1.7412
r_e,8.8252,7.1694,48.0098,0.2969,0.0012,31.8837,1.9602
n,0.8881,1.2695,1.6955,0.9241,4.2700,1.4559,0.5107
x_0,15.7856,29.7134,57.1868,61.8722,71.2976,76.0000,82.5671
