,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,1.1940,0.6650,0.3717,0.7382,0.7106,0.2759,1.9382
r_e,9.8969,7.5687,49.9581,0.0000,3.0177,49.8007,1.8812
n,0.8714,1.2314,1.4500,1.5756,0.1000,1.6360,0.3928
x_0,14.9531,29.2375,57.4096,61.5483,71.5000,76.0000,82.2744
