,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0182,0.0547,0.0290,3.9481,0.0449,0.0226,0.6328
r_e,20.9444,5.4340,16.5770,0.0000,0.0636,33.7633,0.2955
n,1.7733,2.1194,1.5224,4.1999,2.6501,1.7847,0.3631
x_0,14.2773,28.8410,57.0877,61.5756,71.2236,77.4035,83.1078
