,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0096,0.0993,0.0244,1.6475,0.3375,0.0319,0.5969
r_e error,36.6029,2.4007,11.5068,1089.5523,15.4375,20.5591,1.8465
n error,0.6119,2.0862,0.6229,1861.0207,10.5383,0.6897,4.5989
x_0 error,0.1925,0.0078,0.1949,0.7347,0.3940,0.3555,0.1717
