,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2691,0.7239,0.7020,823552.2533,3.1016,0.8269,1.9402
r_e error,3.9575,47.0583,56.8734,1117.2702,12.1314,2.4765,15.2135
n error,0.2033,1.9650,0.7842,3913206.5779,1.1228,0.1156,0.6042
x_0 error,0.3373,0.1931,5.5649,12326.5459,1.7989,0.4574,10.1574
