,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.9498,0.2566,0.5842,0.8772,0.8107,1.9712,0.8325
r_e,10.9208,16.2632,36.4836,0.0011,3.3445,5.8376,18.2165
n,0.8740,1.8318,1.2481,4.7547,0.1000,0.1000,0.1000
x_0,14.4188,29.0143,57.3374,61.0892,70.0000,78.4943,82.6520
