,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0415,0.0830,0.0181,0.0007,0.4678,0.0613,0.1035
r_e,11.5554,4.4937,28.0400,1.8676,0.0171,12.7582,2.2709
n,1.4365,2.4103,2.2108,0.5966,3.6516,1.4839,1.5019
x_0,15.4069,29.8065,57.8579,62.6324,71.5921,78.4201,83.7417
