,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0110,0.0726,0.0158,0.0001,5966.4111,0.0158,192.4433
r_e error,10.9354,4.3480,8.6887,0.0000,2169.6254,19.0114,3.3076
n error,0.3969,1.9176,0.3584,0.0001,89390.0641,0.4524,303.9581
x_0 error,0.1468,0.0125,0.1367,0.0000,2.7217,0.1938,0.1040
