,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0355,0.1987,0.1084,62.2535,3273.0460,0.0562,1.1530
r_e error,3.1299,3.5138,8.2737,2.2185,81.8722,3.6377,0.1742
n error,0.3291,1.9350,1.5705,175.5501,7021.6434,0.3127,0.9054
x_0 error,0.1022,0.0234,0.0085,0.3987,3.3947,0.1568,0.1074
