,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2308,0.3888,0.2421,0.5019,1357833.2632,0.2742,1.2127
r_e error,2.1122,4.7589,84.5608,0.1628,19130.6574,30.2616,0.6547
n error,0.1661,0.5515,0.8523,0.2119,3336537.3988,0.5142,0.5865
x_0 error,0.2044,0.1716,0.4277,0.1891,4158.9151,0.7111,0.2417
