,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0180,0.1074,0.0373,5943637.9522,10728253.1822,0.0398,80.9191
r_e error,13.9744,7.3586,15.9694,313.1858,288.8604,4.9930,6.5745
n error,0.5221,2.9173,1.0327,6452361.8406,6691757.6300,0.2906,185.1020
x_0 error,0.1380,0.0403,0.2182,2527.6521,526.6579,0.4711,0.1675
