,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0444,0.0492,0.6469,0.0539,0.0142
r_e,6.4578,4.9981,0.0017,49.9999,20.5337
n,0.6917,0.2331,2.1479,1.7867,2.1341
x_0,15.8372,31.6259,35.6973,56.1718,87.6775
