,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0194,0.0176,630802.2379,0.0241,0.0157
r_e error,3.1950,0.7123,2267.6206,20.9679,21.4861
n error,0.3302,0.2764,1235011.6334,0.3024,0.7493
x_0 error,0.4622,1.1754,1708.5251,0.0541,0.1261
