,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0605,0.0652,0.0092,0.0496,0.0507
r_e,6.1996,3.9973,3.8591,50.0000,6.1734
n,0.6498,0.2161,2.7512,1.8873,0.9874
x_0,15.1018,30.1613,36.2431,55.8196,87.9593
