,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.2065,0.3097,0.6719,0.7361,0.6274
r_e error,96.6285,1.5888,11.9035,38.2162,224.5564
n error,1.1139,0.3239,1.3563,0.4749,4.3252
x_0 error,0.4196,2.2495,3.2989,0.1804,0.0075
