,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0161,0.0171,0.1324,0.0119,0.0218
r_e error,1.4834,1.1732,30.2869,11.3522,2.3378
n error,0.1878,0.2240,30.3564,0.1493,0.3080
x_0 error,0.3136,1.4396,0.0216,0.0666,0.1769
