,Component 1,Component 2,Component 3,Component 4
I_e,0.0977,0.1939,0.0227,0.0393
r_e,22.2041,6.1962,38.1415,27.2257
n,2.7482,0.5366,3.4939,1.3932
x_0,35.9548,40.1343,59.4891,72.6682
