,Component 1,Component 2,Component 3,Component 4
I_e,0.5584,1.0179,0.2462,0.1048
r_e,26.1762,3.8729,81.9714,37.4088
n,1.8525,0.0649,3.4287,2.3756
x_0,37.0216,47.0728,59.7615,73.6594
