,Component 1,Component 2,Component 3,Component 4
I_e error,0.1125,0.1281,0.1321,0.0261
r_e error,16.8807,1.7792,167.6188,25.4415
n error,0.8441,0.2294,5.1857,0.4625
x_0 error,0.0539,2.8754,0.0009,0.5243
