,Component 1,Component 2,Component 3,Component 4
I_e error,0.0563,0.0733,0.0521,0.0174
r_e error,3.7464,8.0577,97.8221,24.1522
n error,0.2453,0.5609,2.3183,0.4164
x_0 error,0.0611,0.1629,0.0002,0.2765
