Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.0162,0.0047,16.1428,8.2814,1.3255,0.2172,36.6491,0.1174
2,0.0035,0.0046,20.9571,69.6304,1.3042,1.0671,44.8891,0.6185
3,0.0047,0.0250,22.5735,95.7912,2.9860,4.6054,59.7119,0.0019
4,0.0031,0.0014,30.8790,21.6703,1.5607,0.2880,72.3854,0.3690
