,Component 1,Component 2,Component 3,Component 4
I_e error,0.2641,1.0818,0.4791,0.3222
r_e error,41.2476,0.8530,138.5267,29.2091
n error,0.3458,0.4404,0.9705,0.4831
x_0 error,0.0826,0.4350,0.0228,0.2596
