,Component 1,Component 2,Component 3,Component 4
I_e,0.4302,1.5693,0.3692,0.5005
r_e,38.6791,3.3646,49.1156,19.2228
n,2.0261,0.1421,3.2312,1.3217
x_0,37.0929,47.5008,59.7614,73.0399
