,Component 1,Component 2,Component 3,Component 4
I_e,0.0997,0.0383,0.0260,0.0148
r_e,12.7543,22.5001,29.3171,44.6784
n,1.6615,1.6116,3.2834,1.8428
x_0,36.3879,42.5762,59.7367,72.1214
