,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,2.942,0.050,0.017
Spettro_3,9.398,0.171,0.018
Spettro_4,22.316,0.406,0.018
Spettro_5,43.111,1.322,0.031
Spettro_6,82.618,2.582,0.031
Spettro_7,70.265,1.256,0.018
Spettro_8,26.526,0.595,0.022
Spettro_9,34.437,0.823,0.024
Spettro_10,55.064,3.036,0.055
Spettro_11,55.616,1.819,0.033
Spettro_12,21.022,0.845,0.040
Spettro_13,24.860,0.668,0.027
Spettro_14,45.866,0.827,0.018
Spettro_15,49.046,0.952,0.019
Spettro_16,9.687,0.163,0.017
Spettro_17,4.923,0.065,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
