,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,1.806,0.018,0.010
Spettro_3,2.586,0.043,0.017
Spettro_4,11.822,0.154,0.013
Spettro_5,38.270,0.573,0.015
Spettro_6,33.993,1.507,0.044
Spettro_7,31.521,0.701,0.022
Spettro_8,18.222,0.325,0.018
Spettro_9,26.132,0.503,0.019
Spettro_10,67.257,2.120,0.032
Spettro_11,36.039,1.292,0.036
Spettro_12,11.663,0.408,0.035
Spettro_13,16.442,0.265,0.016
Spettro_14,23.996,0.450,0.019
Spettro_15,22.474,0.520,0.023
Spettro_16,3.436,0.066,0.019
Spettro_17,3.552,0.042,0.012
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
