,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.799,0.349,0.030,0.042,0.019,0.038
Green,0.156,97.945,0.140,0.223,0.063,0.079
Magenta,0.044,1.687,65.982,58.566,21.750,6.572
Orange,0.000,0.001,30.898,39.697,4.535,0.000
Chocolate,0.001,0.019,2.949,1.472,73.631,1.181
Purple,0.000,0.000,0.000,0.000,0.002,92.130
