,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,94.889,0.176,0.022,0.038,0.019,0.050
Green,0.210,96.337,0.069,0.140,0.038,0.050
Magenta,4.901,3.480,58.831,42.263,27.413,53.630
Orange,0.000,0.007,40.093,57.207,18.846,0.000
Chocolate,0.000,0.000,0.983,0.351,53.666,0.059
Purple,0.000,0.000,0.003,0.003,0.018,46.210
