,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,97.850,0.098,0.065,0.111,0.090,0.108
Green,0.121,98.554,0.135,0.283,0.114,0.059
Magenta,2.030,1.348,75.799,62.004,60.386,48.896
Orange,0.000,0.000,23.932,37.592,7.400,0.000
Chocolate,0.000,0.000,0.062,0.004,31.961,0.000
Purple,0.000,0.000,0.007,0.007,0.049,50.937
