,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,93.337,0.166,0.022,0.040,0.021,0.034
Green,0.309,96.240,0.098,0.207,0.068,0.074
Magenta,6.354,3.593,68.750,53.964,40.010,59.449
Orange,0.000,0.001,30.965,45.760,23.880,0.000
Chocolate,0.000,0.000,0.163,0.027,35.997,0.000
Purple,0.000,0.000,0.003,0.003,0.022,40.442
