,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.756,0.436,0.032,0.042,0.021,0.041
Green,0.189,97.419,0.151,0.228,0.072,0.086
Magenta,0.054,2.120,64.434,59.182,25.170,7.245
Orange,0.000,0.002,31.868,38.971,5.692,0.000
Chocolate,0.001,0.024,3.515,1.577,69.040,1.325
Purple,0.000,0.000,0.000,0.000,0.003,91.303
