,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.015,0.088,0.061,0.112,0.089,0.104
Green,0.111,98.702,0.127,0.285,0.112,0.057
Magenta,1.874,1.210,76.622,61.319,58.911,46.805
Orange,0.000,0.000,23.147,38.274,6.861,0.000
Chocolate,0.000,0.000,0.035,0.003,33.980,0.000
Purple,0.000,0.000,0.006,0.007,0.048,53.035
