,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,93.337,0.211,0.023,0.038,0.022,0.037
Green,0.309,95.258,0.107,0.203,0.072,0.080
Magenta,6.354,4.529,66.724,56.057,42.871,63.596
Orange,0.000,0.002,32.874,43.661,25.358,0.000
Chocolate,0.000,0.000,0.268,0.038,31.653,0.000
Purple,0.000,0.000,0.003,0.003,0.024,36.287
