,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,97.359,0.132,0.070,0.107,0.094,0.119
Green,0.150,98.061,0.149,0.278,0.119,0.066
Magenta,2.491,1.807,74.421,63.651,63.603,54.039
Orange,0.000,0.000,25.222,35.949,8.745,0.000
Chocolate,0.000,0.000,0.132,0.007,27.386,0.000
Purple,0.000,0.000,0.007,0.007,0.052,45.776
