,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,97.923,0.041,0.043,0.068,0.040,0.077
Green,0.099,99.393,0.079,0.157,0.044,0.034
Magenta,1.977,0.561,66.512,46.739,33.455,45.977
Orange,0.000,0.005,33.082,52.979,8.271,0.000
Chocolate,0.000,0.000,0.278,0.052,58.157,0.000
Purple,0.000,0.000,0.006,0.005,0.033,53.913
