,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,94.102,0.223,0.024,0.037,0.021,0.054
Green,0.245,95.381,0.075,0.139,0.042,0.055
Magenta,5.653,4.382,56.595,44.674,30.308,58.376
Orange,0.000,0.013,41.986,54.746,21.020,0.001
Chocolate,0.000,0.000,1.317,0.401,48.589,0.073
Purple,0.000,0.000,0.003,0.003,0.020,41.441
